Source,/home/echopen/Bureau/GitHub/electronic/kicad/Daugter_boards/DB_Motor_control/V1/DB_Motor_control_V1.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,mar. 23 août 2016 14:59:01 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
R2,1k,device,R
D1,1N4001,device,D
R1,680,device,R
R5,2.2k,device,R
R4,330,device,R
R3,33k,device,R
P2,CONN_01X05,conn,CONN_01X05
P1,CONN_01X19,conn,CONN_01X19
P5,CONN_01X19,conn,CONN_01X19
P3,CONN_01X02,conn,CONN_01X02
P4,CONN_01X02,conn,CONN_01X02
C1,10u,device,CP
Q1,2N2222,echopen,2N2222
P6,CONN_01X15,conn,CONN_01X15
P7,CONN_01X15,conn,CONN_01X15
R7,1.5k,device,R
Q2,2N2222,echopen,2N2222
R6,1.5k,device,R
